4516B001_BB	013803124347	1304789813
WE39US1-50B_BB	092636249700	9714247
SB67118_BB	650530018770	9400258
2170NAS_BB	018208021703	8815375
CA745_BB	716829867457	8537513
CR11CD_BB	710244271172	7964615
2144NAS_BB	018208021444	7650507
31035_BB	050234310352	6711792
T7907_BB	027084933659	6707583
R2443_BB	027084807042	6707538
7049_BB	726644066638	6619386
6990_BB	726644064214	6619377
GB3PLAGB_BB	899665001312	6570104
GBU421WM_BB	881317503480	6551646
EKC-102-BLACK_BB	085854216746	6516256
45060000F_BB	726947109483	6514837
PIF300X3_BB	989898497218	6496358
OM600_BB	812811001288	6479937
323_BB	719821281184	6478783
VIV-AV-842_BB	681066810453	6477948
SUR40546_BB	636980700205	6476454
ES82425_BB	046162092453	6473087
201951_BB	029757219510	6472564
TT350_BB	026127320593	6472421
17100-DRIVEMEDICAL_BB	822383112312	6447999
PSM-110RG_BB	807348121110	6447371
PSM-110C_BB	807348121097	6447362
PSM-110P_BB	807348121103	6433254
PSM110R_BB	807348120731	6433245
803-00130_BB	099967234047	6428668
4889-MELISSAANDDOUG_BB	000772048897	6413499
4882_BB	000772048828	6413435
284_BB	000772002844	6413056
GB1WH_BB	4959112062719	6377603
C01UPAK_BB	809164007562	6374184
HAG4700_BB	032244047008	6338047
4849_BB	000772048491	6332371
4848_BB	000772048484	6332362
4837_BB	000772048378	6332344
4835_BB	000772048354	6332326
4834_BB	000772048347	6332317
2191_BB	000772021913	6332256
488-MELISSA_BB	000772004886	6332201
481-MELISSA_BB	000772004817	6332186
431-MELISSA_BB	000772004312	6332159
1633_BB	000772016339	6306066
09979AG_BB	098376911761	6298172
09974BK_BB	098376911709	6298127
24342BK_BB	098376016480	6298109
22728BK_BB	098376011812	6297895
22779BK_BB	098376011799	6297886
22777BL_BB	098376011782	6297877
22777BK_BB	098376011775	6297868
22774BK_BB	098376011751	6297831
22718BL_BB	098376011706	6297822
099-0820-004_BB	885978133420	6282681
11205-01-W_BB	800315003006	6280019
MSK-411_BB	728736024601	6277234
GL-CLAR-BLUE-A_BB	716408524962	6276165
MC402_BB	710137031951	6275879
TUBE-ZIPPER_BB	683274010182	6275536
1025P_BB	652730102525	6274582
BB0210_BB	652730002108	6274573
12030-SABIAN_BB	622537120305	6273653
221101X_BB	622537056925	6273617
